alpha,sigma_d,sigma_e,var_disease,var_residual,prop_disease,prop_residual,delta_COVID-19,delta_Ebola,delta_HIV
0.027986347466890327,0.12792803309958073,0.30515581228040956,0.01636558165272742,0.09312006976851656,0.14947695374036873,0.8505230462596313,0.05590647505004213,-0.023041101701307305,0.0637038983188845
-0.06373305270565544,0.12020057650301129,0.2539670284436968,0.01444817859165627,0.06449925153652149,0.18301011911595402,0.8169898808840459,0.07252651535035165,0.01508564184274732,0.02051371388045161
-0.1351821121954308,0.1264706434162854,0.2263539120389213,0.01599482364612921,0.05123609349532372,0.2379087527911648,0.7620912472088351,0.026713951894004717,0.055035151030082705,-0.033253962688948
-0.14439177707487066,0.0972208002958028,0.26913443520423375,0.00945188401015637,0.0724333442127019,0.11542843825790151,0.8845715617420985,-0.08022747863977905,0.062174970946451684,-0.03205554609331425
-0.13356105712782723,0.0921797324891757,0.2720830790252583,0.008497103081775995,0.07402920189186496,0.10296235951058252,0.8970376404894175,-0.13860138604286854,0.03987187805364297,0.08138766344467244
-0.0330656725639533,0.08869761044172894,0.17326788122048184,0.007867266098072702,0.030021758662635005,0.20763970959293054,0.7923602904070696,-0.22321769671063707,-0.017515940506555527,0.11492961795754861
-0.03746125004380427,0.07803781926414141,0.20351017511716568,0.0060899012355028,0.04141639137621944,0.12819146476608256,0.8718085352339174,-0.23790711216105345,0.06805436779850896,0.050059152008559135
0.006353751805463038,0.09360865264046797,0.17862408413152636,0.008762579849163791,0.03190656343182661,0.2154601533802066,0.7845398466197933,-0.17654421547583235,0.05504015447890724,0.01826009148907075
0.012964077422190048,0.07329609151377019,0.21292016053343663,0.005372317031194974,0.045334994761584424,0.10594758115258596,0.894052418847414,-0.15898718864319145,-0.008977071690658138,-0.052440442929960494
-0.009714567428679594,0.09931533629922805,0.21572783541752458,0.009863536024228764,0.04653849897393057,0.17487908059612844,0.8251209194038716,-0.13632215451838617,-0.1381192362763485,-0.023488371652275006
-0.06980598472732116,0.14772161314533866,0.16426498872949086,0.02182167499026109,0.02698298652229976,0.4471227606945875,0.5528772393054124,-0.035227920163733537,-0.14025696466804746,0.06127768226834143
-0.15813511722510057,0.12898569715397626,0.1789092731883511,0.01663731007029728,0.03200852803278404,0.34200891009509493,0.6579910899049052,-0.04250834049948758,-0.15315012513641105,0.18302137110648492
-0.15673669179008887,0.16095033643287635,0.17063770290668107,0.025905010797856082,0.02911722565326875,0.4708098483213599,0.5291901516786401,-0.03536438100091802,-0.18376495057636066,0.17145275995682296
-0.18330413110951732,0.16078013926975382,0.23552662419164835,0.025850253183601433,0.05547279070311396,0.3178711955200711,0.6821288044799289,-0.16919357907033214,-0.14547040415098006,0.19078734130163616
-0.18243415647390868,0.16859627161440616,0.27001036775392695,0.028424702802278615,0.07290559869461087,0.2805153284099442,0.7194846715900558,-0.05663000721537003,-0.022271306407489706,0.22823736440718417
-0.17478943195340724,0.2297624845316961,0.3019876882429414,0.052790799298177885,0.09119656385031598,0.36663494728863705,0.633365052711363,-0.07553195060166147,0.020722412179960355,0.22544503838243668
-0.21895526921513625,0.20918160472486394,0.30266500913597244,0.04375694375526922,0.09160610775527828,0.32325618599001277,0.6767438140099872,-0.07936796559694669,0.038122842651023836,0.12260750355425828
-0.16877364112195115,0.29405610078256955,0.31124113438323925,0.0864689904074487,0.0968710437321656,0.4716318005133682,0.5283681994866317,-0.10480578188442788,-0.08148465096235265,0.15381984052738978
-0.16001125963089508,0.5213527507437817,0.4016432901467813,0.2718086907081078,0.16131733251993155,0.6275510501131941,0.3724489498868058,-0.19321896881344294,-0.02598979993768736,0.22172843450014837
-0.18009424520871836,0.45196270661505,0.28204661250745094,0.20427028817080176,0.07955029162692819,0.7197162669330702,0.2802837330669298,-0.1521947889639983,0.04813673262667337,0.239140578066117
-0.20901324963198636,0.24500556089424558,0.2845140417500348,0.06002772486910388,0.08094823995294055,0.4258011281914442,0.5741988718085557,-0.08453703009866018,-0.07622298940224444,0.3631785235586211
-0.1756151387509638,0.2593580568440338,0.19277746262759266,0.06726660164991306,0.037163150097132884,0.6441325438831743,0.3558674561168258,0.021433595186229337,-0.10804935485879062,0.3567945035299339
-0.3119508787246944,0.17891382888181967,0.19610021892076893,0.03201015816515305,0.0384552958607735,0.4542673939683332,0.5457326060316667,0.007425831923907599,-0.10062424717602327,0.4031317481101547
-0.2225695132777775,0.251145224057954,0.17348764986210713,0.06307392356711991,0.03009796465467708,0.6769630279142947,0.3230369720857052,0.11842919665944715,-0.034828499661107,0.3712100409369591
-0.27558096325984616,0.2040349508238798,0.1335190611353551,0.04163026115770305,0.017827339686466697,0.7001671874855878,0.2998328125144121,0.14735817585446828,-0.05061094700154389,0.28675532396768133
-0.2058057315556872,0.23229434674357954,0.17638221788275762,0.05396066352902636,0.031110686785240583,0.634298895335353,0.36570110466464695,0.0445915475631052,-0.015814709406681744,0.2709572256566731
-0.23937688888581513,0.18425681652873752,0.1762738253412101,0.033950574437304835,0.03107246150042345,0.522131486905946,0.47786851309405387,0.13947838974222967,0.005704417846823694,0.22522255545728845
-0.28379903026427905,0.23779235875579766,0.20892374478517334,0.05654520588264598,0.04364913113506024,0.5643553075524955,0.4356446924475045,0.25392343631935393,0.0671765155810507,0.21760459625437933
-0.2417601165782878,0.2116172754262648,0.19823467992235863,0.044781871258835614,0.03929698832391998,0.5326174912584124,0.46738250874158754,0.2039477281813213,0.08360963784151343,0.24621516233846172
-0.2328447490619439,0.308406392168526,0.21353520562927547,0.09511450273040666,0.04559728404313696,0.6759526327633124,0.32404736723668753,0.20164871327296013,0.0699066649645326,0.3305298959660855
-0.2601747830654707,0.312222990133674,0.20250433251651254,0.09748319556801228,0.041008004687958274,0.7038945101770799,0.29610548982292006,0.04086861947457529,0.019851018476908896,0.2869321371601202
-0.2813365175011578,0.15076478534815754,0.17883906218165643,0.022730020501076018,0.03198341016201438,0.41543767637311874,0.5845623236268813,0.04711654337134356,0.11634272597251147,0.1987224339586342
-0.29323999194747546,0.1470505187260293,0.20675976476376792,0.021623855057594298,0.04274960032516865,0.3359126044892169,0.6640873955107832,0.06976285020321463,0.06047797212196231,0.13100791947770563
-0.28926434585401156,0.19825489867110452,0.2228001131071277,0.03930500484708992,0.04963989040054889,0.4419028741071381,0.5580971258928619,0.09333033493023013,0.09428089878544693,0.1265603396857516
-0.35409175736965326,0.22906732853815653,0.1992724977493963,0.052471841003607744,0.039709528359283146,0.5692239263341984,0.4307760736658015,0.13959676868954654,0.1405485994202864,0.22133784900425077
